Symbol,Price,RSI,Pivot middle,Pivot support 1,Pivot support 2
AMZN,91.01,38.50403653,95.66333333,86.74666667,76.95333333
BAC,34.47,36.73567461,37.28666667,35.97333333,34.09666667
SYF,34.39,44.09823036,37.355,33.825,30.07
KR,46.07,41.61460031,48.18333333,46.62666667,44.06333333
O,62.24,46.00918777,62.96406667,60.05093333,57.03186667
CVX,176.56,45.29726082,182.93666667,176.19333333,169.07666667
XOM,106.85,42.52658643,111.1614,107.6586,103.9772
